Date,Adj Close,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
2024-12-11,28.84839249,0,29.12000084,0,29.62999916,27.79000092,28.32999992,0,77277400
2024-12-12,28.19454575,0,28.45999908,0,28.82999992,27.73999977,28.45000076,0,59937600
2024-12-13,30.41365433,0,30.70000076,0,31.30999947,29.48999977,30.37000084,0,103693900
2024-12-16,32.20676804,0,32.50999832,0,32.95000076,30.38999939,31.12000084,0,85469700
2024-12-17,30.83964348,0,31.12999916,0,32.09000015,30.54999924,31.57999992,0,64499000
2024-12-18,27.57042122,0,27.82999992,0,32.47999954,27,31.78000069,0,102912200
2024-12-19,26.05469322,0,26.29999924,0,28.01000023,26.05999947,27.96999931,0,86520100
2024-12-20,27.04536629,0,27.29999924,0,28.37000084,25.59000015,25.81999969,0,108080200
2024-12-23,29.39691925,0,29.59000015,0.077,29.76000023,27.86000061,27.88999939,0,79330900
2024-12-24,30.28111267,0,30.47999954,0,30.56999969,29.65999985,30.26000023,0,39963700
2024-12-26,30.37052345,0,30.56999969,0,31.10000038,29.76000023,29.89999962,0,45184100
2024-12-27,29.49626732,0,29.69000053,0,30.18000031,28.59000015,29.97999954,0,59316300
2024-12-30,27.75768661,0,27.94000053,0,28.78000069,27.31999969,28.23999977,0,64859000
2024-12-31,27.13179588,0,27.30999947,0,28.56999969,26.93000031,28.20000076,0,61199500
2025-01-02,27.48944855,0,27.67000008,0,29.04999924,27.04000092,28.12999916,0,80996300
2025-01-03,29.62541771,0,29.81999969,0,30.12000084,28.15999985,28.31999969,0,72119600
2025-01-06,32.27799988,0,32.49000168,0,33.63000107,31.80999947,31.80999947,0,95159500
2025-01-07,30.9467392,0,31.14999962,0,33.72999954,30.60000038,33.56999969,0,79205700
2025-01-08,29.98307228,0,30.18000031,0,31.01000023,29.18000031,30.79999924,0,69523500
2025-01-10,27.87690163,0,28.05999947,0,29.09000015,27.44000053,29.05999947,0,85395000
2025-01-13,27.66827393,0,27.85000038,0,27.87000084,26.25,26.44000053,0,68286400
2025-01-14,27.93651199,0,28.12000084,0,28.95999908,27.18000031,28.46999931,0,79759400
2025-01-15,29.74463654,0,29.94000053,0,30.45999908,29.29999924,29.64999962,0,69461300
2025-01-16,29.79430962,0,29.98999977,0,31.71999931,29.98999977,31.45999908,0,78881100
2025-01-17,32.27799988,0,32.49000168,0,32.70999908,31.47999954,32.02999878,0,69688900
2025-01-21,33.47016525,0,33.68999863,0,34.52999878,32.5,33.33000183,0,60897500
2025-01-22,34.92064285,0,35.15000153,0,36.15000153,34.40999985,34.68999863,0,57709400
2025-01-23,34.69214249,0,34.91999817,0,34.91999817,33.00999832,33.43999863,0,44900600
2025-01-24,32.4369545,0,32.65000153,0,34.93999863,32.31000137,34.93999863,0,60111500
2025-01-27,24.89647865,0,25.05999947,0,28.07999992,23.84000015,27.65999985,0,198431800
2025-01-28,25.20445824,0,25.37000084,0,25.79999924,23.75,25.44000053,0,103185300
2025-01-29,25.51243401,0,25.68000031,0,26.29999924,24.85000038,26.11000061,0,94141700
2025-01-30,26.97284317,0,27.14999962,0,27.67000008,26.13999939,26.57999992,0,87140400
2025-01-31,26.84368896,0,27.02000046,0,29.25,26.70000076,27.62999916,0,102136600
2025-02-03,25.44289207,0,25.61000061,0,26.48999977,24.30999947,24.79999924,0,103914300
